Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Дополнительно,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Стоимость ремонта,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Запланирован снос
33570000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_668_m_1222_et._7524341899?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,66.8 м²,15 м²,38.7 м²,12 из 22,лоджия,"гардеробная, панорамные окна",изолированные,3.1 м,совмещенный,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2006,22,1,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
17900000.0,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_657_m_521_et._7710115778?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,65.7 м²,12 м²,42 м²,5 из 21,,"гардеробная, панорамные окна","изолированные, смежные",3 м,раздельный,"во двор, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,,монолитный,2018,21,2,1,консьерж,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",,,,,,,
49990000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_852_m_921_et._7746335876?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,4,85.2 м²,9 м²,,9 из 21,,панорамные окна,изолированные,,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2024,21,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
15800000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_547_m_44_et._7591150087?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiejl2N29zZWp5ajAyaDZldjB1cTVtMmp3Ymx6ZHd4YyI7fYlNwqFzAAAA,2,54.7 м²,10 м²,34 м²,4 из 4,балкон,,изолированные,3.2 м,раздельный,во двор,требует ремонта,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,кирпичный,1958,4,нет,нет,газ,детская площадка,открытая во дворе,от 903 000 ₽ за 54.7 м²,,,,,,
160000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_131_m_613_et._7497816963?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,131 м²,12 м²,,6 из 13,,,изолированные,,,,евро,,,,свободная,,монолитно-кирпичный,,13,,,,,,,,,,,,
10950000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_366_m_1324_et._7627864203?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,36.6 м²,18.5 м²,10.7 м²,13 из 24,,,изолированные,2.9 м,совмещенный,во двор,,,,,переуступка,,монолитно-кирпичный,,24,2,1,,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,от 219 000 ₽ за 36.6 м²,чистовая,ЖК «Лучи»,Корпус 3 (2 этап),ДДУ по ФЗ 214,Сдача в 4 кв. 2025,
38200000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_925_m_1014_et._7320870588?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,3,92.5 м²,21 м²,49 м²,10 из 14,балкон,гардеробная,"изолированные, смежные",3.1 м,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,свободная,возможна ипотека,монолитный,2024,14,1,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
34940000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_544_m_2224_et._7739877088?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,2,54.4 м²,25 м²,20 м²,22 из 24,,"гардеробная, панорамные окна",изолированные,3.1 м,совмещенный,"во двор, на улицу",дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2017,24,2,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
13800000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_30_m_621_et._7634429057?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0Y2EwSWtJOFVQbTU4YXJEIjt96dC6yT8AAAA,студия,30 м²,,14.9 м²,6 из 21,,панорамные окна,,3 м,совмещенный,"на улицу, на солнечную сторону",,,,,переуступка,возможна ипотека,монолитный,,21,2,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,от 179 000 ₽ за 30 м²,чистовая,ЖК «PAVE»,Корпус 5 (1 этап),ДДУ по ФЗ 214,Сдача в 4 кв. 2028,
35000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_897_m_19_et._7368188426?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiejl2N29zZWp5ajAyaDZldjB1cTVtMmp3Ymx6ZHd4YyI7fYlNwqFzAAAA,3,89.7 м²,5.4 м²,64.8 м²,1 из 9,,,изолированные,3.8 м,раздельный,во двор,требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2021,9,нет,нет,,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,от 1 480 000 ₽ за 89.7 м²,,,,,,
