iter	Passed	Remaining
0	2	1375
1	5	1794
2	7	1617
3	9	1466
4	11	1368
5	12	1312
6	14	1268
7	16	1234
8	17	1208
9	20	1232
10	22	1248
11	24	1261
12	26	1242
13	28	1231
14	30	1219
15	32	1214
16	33	1205
17	35	1197
18	37	1199
19	39	1194
20	41	1186
21	43	1176
22	45	1190
23	47	1181
24	49	1181
25	51	1172
26	53	1168
27	55	1165
28	57	1161
29	59	1163
30	61	1164
31	63	1159
32	65	1160
33	67	1160
34	69	1156
35	70	1147
36	72	1148
37	74	1145
38	76	1138
39	78	1132
40	79	1125
41	81	1118
42	82	1112
43	84	1109
44	86	1106
45	88	1103
46	90	1097
47	91	1091
48	97	1131
49	99	1136
50	102	1139
51	104	1141
52	107	1147
53	109	1146
54	111	1144
55	113	1143
56	115	1142
57	118	1150
58	121	1151
59	123	1152
60	125	1153
61	127	1143
62	128	1138
63	130	1132
64	132	1127
65	136	1145
66	138	1143
67	140	1141
68	142	1134
69	143	1128
70	145	1121
71	146	1115
72	148	1109
73	149	1106
74	151	1100
75	152	1093
76	154	1087
77	155	1081
78	156	1075
79	158	1068
80	159	1062
81	161	1056
82	162	1050
83	164	1047
84	165	1044
85	167	1039
86	168	1033
87	170	1028
88	171	1023
89	172	1018
90	174	1013
91	175	1008
92	177	1004
93	178	999
94	180	996
95	181	992
96	183	988
97	184	983
98	186	979
99	187	974
100	188	970
101	190	965
102	191	961
103	193	958
104	194	955
105	196	952
106	198	951
107	199	947
108	201	943
109	202	940
110	204	936
111	205	932
112	207	928
113	209	929
114	210	925
115	212	922
116	213	919
117	215	916
118	216	912
119	218	908
120	219	905
121	220	901
122	222	898
123	223	895
124	225	894
125	228	896
126	230	893
127	231	891
128	234	893
129	236	892
130	238	889
131	240	887
132	241	884
133	243	882
134	244	876
135	245	874
136	247	871
137	248	867
138	250	865
139	251	863
140	253	861
141	255	858
142	256	855
143	257	852
144	259	850
145	261	847
146	262	844
147	263	841
148	265	838
149	266	836
150	268	833
151	269	830
152	271	827
153	272	824
154	273	821
155	275	818
156	277	816
157	278	814
158	280	812
159	281	809
160	282	806
161	284	803
162	285	801
163	287	798
164	288	795
165	289	793
166	291	790
167	293	788
168	294	786
169	296	783
170	297	781
171	299	778
172	300	776
173	301	773
174	303	770
175	304	767
176	305	765
177	307	762
178	308	760
179	310	758
180	311	756
181	313	753
182	314	751
183	316	749
184	317	746
185	319	744
186	320	741
187	321	739
188	323	736
189	324	734
190	326	733
191	327	731
192	329	728
193	330	726
194	332	723
195	333	721
196	334	718
197	336	716
198	337	713
199	338	711
200	340	710
201	342	708
202	343	706
203	345	704
204	346	701
205	348	699
206	349	697
207	350	694
208	352	692
209	353	689
210	354	687
211	356	685
212	357	683
213	359	681
214	360	679
215	361	676
216	363	674
217	364	672
218	365	669
219	367	667
220	368	665
221	369	663
222	371	661
223	372	659
224	374	656
225	375	654
226	376	652
227	378	650
228	379	648
229	380	645
230	382	643
231	383	641
232	384	639
233	386	637
234	387	635
235	389	634
236	391	632
237	392	630
238	393	627
239	395	625
240	396	623
241	397	621
242	399	619
243	400	617
244	402	616
245	404	614
246	405	612
247	407	610
248	408	608
249	409	606
250	411	604
251	412	602
252	413	600
253	415	598
254	416	596
255	418	595
256	420	593
257	421	592
258	423	590
259	424	588
260	426	586
261	427	584
262	429	582
263	430	580
264	431	578
265	433	576
266	435	575
267	436	573
268	437	571
269	439	569
270	440	567
271	441	565
272	443	563
273	444	561
274	446	559
275	447	558
276	449	556
277	450	554
278	452	552
279	453	550
280	455	548
281	456	546
282	457	545
283	459	543
284	460	541
285	462	539
286	463	537
287	465	536
288	466	534
289	468	532
290	469	531
291	471	529
292	473	527
293	474	526
294	476	524
295	477	522
296	479	520
297	480	519
298	482	517
299	483	516
300	485	514
301	486	512
302	488	510
303	489	509
304	491	507
305	492	505
306	494	503
307	495	501
308	496	500
309	498	498
310	499	496
311	501	495
312	502	493
313	504	491
314	505	489
315	507	487
316	508	485
317	509	484
318	511	482
319	512	480
320	513	478
321	515	477
322	517	475
323	519	474
324	521	472
325	522	471
326	523	469
327	525	467
328	526	465
329	527	463
330	529	461
331	530	460
332	532	458
333	533	456
334	535	455
335	536	453
336	538	452
337	539	450
338	541	448
339	542	446
340	544	445
341	545	443
