,Цена,Ссылка,Общая площадь,Площадь кухни,Этаж,Санузел,Окна,Ремонт,Тип дома,Пассажирский лифт,Грузовой лифт,Парковка,Город,Этажей в доме,умный_относ_этаж,возраст_дома,период_строительства
1,9400000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_252_m_420_et._4463290923?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,25.2,5.3,4,0,1,0,17259665.500506587,1,1,0,24213976.199476168,20,0.15789473684210525,8.0,4
2,29625700.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_845_m_1425_et._7761521886?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,84.5,17.8,14,0,1,0,17259665.500506587,2,1,0,24213976.199476168,25,0.5416666666666666,8.0,4
3,22990000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_699_m_1825_et._7495690370?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,69.9,10.2,18,0,1,1,8348267.076508711,1,0,1,24213976.199476168,25,0.7083333333333334,6.0,4
4,50000000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_42_m_2672_et._7637426111?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,42.0,8.8,26,1,1,2,17259665.500506587,4,4,0,24213976.199476168,72,0.352112676056338,8.0,4
6,15944492.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_266_m_1920_et._7827716585?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,26.6,5.6,19,0,1,0,17259665.500506587,1,1,3,24213976.199476168,20,1.1368421052631579,8.0,4
7,23990000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_578_m_88_et._7584547510?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,57.8,25.0,8,1,0,0,9870197.894296648,1,0,2,24213976.199476168,8,1.4,66.0,2
8,44414140.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_751_m_710_et._2526750223?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,75.1,7.8,7,1,1,0,17259665.500506587,1,1,3,24213976.199476168,10,0.6666666666666666,8.0,4
11,22200000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_443_m_3034_et._7749646563?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,44.3,16.0,30,1,0,2,17259665.500506587,2,4,3,24213976.199476168,34,0.8787878787878788,2.0,4
12,38500000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_88_m_59_et._7772458173?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,88.0,11.0,5,0,1,3,17259665.500506587,2,2,3,24213976.199476168,9,0.5,0.0,4
13,29500000.0,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_969_m_723_et._7648547447?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,96.9,15.8,7,2,1,2,17259665.500506587,2,2,3,24213976.199476168,23,0.2727272727272727,10.0,3
14,19400000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_681_m_99_et._7655971018?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,68.1,16.7,9,1,1,2,14024004.145800991,0,1,0,24213976.199476168,9,1.4,9.0,4
15,41700000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_949_m_1220_et._7778681728?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,94.9,12.9,12,0,1,2,14024004.145800991,4,4,3,24213976.199476168,20,0.5789473684210527,3.0,4
